Question_ID,Answer_ID,Task
9442,4,Phi-2
9443,3,Phi-2
9444,2,Phi-2
9447,2,Phi-2
9454,3,Phi-2
9456,2,Phi-2
9457,3,Phi-2
9459,4,Phi-2
9462,3,Phi-2
9464,2,Phi-2
9467,2,Phi-2
9468,2,Phi-2
9487,2,Phi-2
9504,4,Phi-2
9505,2,Phi-2
9507,2,Phi-2
9511,3,Phi-2
9516,3,Phi-2
9524,3,Phi-2
9526,2,Phi-2
9533,1,Phi-2
9545,2,Phi-2
9547,2,Phi-2
9549,2,Phi-2
9557,1,Phi-2
9570,2,Phi-2
9571,2,Phi-2
9585,1,Phi-2
9586,4,Phi-2
9587,3,Phi-2
9595,2,Phi-2
9597,3,Phi-2
9602,2,Phi-2
9607,3,Phi-2
9610,2,Phi-2
9612,2,Phi-2
9613,2,Phi-2
9623,2,Phi-2
9626,3,Phi-2
9630,3,Phi-2
9631,2,Phi-2
9633,2,Phi-2
9637,3,Phi-2
9641,3,Phi-2
9650,2,Phi-2
9653,2,Phi-2
9656,5,Phi-2
9657,2,Phi-2
9659,2,Phi-2
9673,2,Phi-2
9674,2,Phi-2
9676,5,Phi-2
9678,1,Phi-2
9682,2,Phi-2
9685,2,Phi-2
9703,3,Phi-2
9705,3,Phi-2
9707,1,Phi-2
9709,2,Phi-2
9710,2,Phi-2
9713,2,Phi-2
9717,3,Phi-2
9719,4,Phi-2
9728,3,Phi-2
9738,3,Phi-2
9741,5,Phi-2
9743,2,Phi-2
9745,1,Phi-2
9751,2,Phi-2
9754,1,Phi-2
9765,2,Phi-2
9767,4,Phi-2
9769,2,Phi-2
9776,2,Phi-2
9777,2,Phi-2
9780,1,Phi-2
9781,2,Phi-2
9786,2,Phi-2
9791,3,Phi-2
9796,3,Phi-2
9797,2,Phi-2
9798,2,Phi-2
9804,5,Phi-2
9813,3,Phi-2
9822,2,Phi-2
9823,2,Phi-2
9827,2,Phi-2
9832,3,Phi-2
9834,1,Phi-2
9835,3,Phi-2
9836,2,Phi-2
9838,2,Phi-2
9841,2,Phi-2
9845,2,Phi-2
9849,2,Phi-2
9853,3,Phi-2
9857,2,Phi-2
9858,1,Phi-2
9865,2,Phi-2
9868,3,Phi-2
9872,1,Phi-2
9874,2,Phi-2
9880,2,Phi-2
9881,2,Phi-2
9886,2,Phi-2
9889,1,Phi-2
9891,3,Phi-2
9894,4,Phi-2
9898,3,Phi-2
9901,2,Phi-2
9925,2,Phi-2
9926,3,Phi-2
9927,3,Phi-2
9930,2,Phi-2
9944,2,Phi-2
9945,3,Phi-2
9949,3,Phi-2
9957,1,Phi-2
9962,5,Phi-2
9974,3,Phi-2
9984,2,Phi-2
9986,2,Phi-2
9992,2,Phi-2
9999,1,Phi-2
